2024-06-10 11:18:43.3231 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 9 with length 9482 and flags NONE. 
2024-06-10 11:18:43.3231 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 9 with length 0 and flags END_STREAM. 
2024-06-10 11:18:43.3340 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 7 with length 16384 and flags NONE. 
2024-06-10 11:18:43.3340 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 7 with length 16384 and flags NONE. 
2024-06-10 11:18:43.3340 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 7 with length 16384 and flags NONE. 
2024-06-10 11:18:43.3340 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 7 with length 16384 and flags NONE. 
2024-06-10 11:18:43.3340 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 7 with length 16384 and flags NONE. 
2024-06-10 11:18:43.3340 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 7 with length 16384 and flags NONE. 
2024-06-10 11:18:43.3340 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 7 with length 16384 and flags NONE. 
2024-06-10 11:18:43.3340 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 7 with length 16384 and flags NONE. 
2024-06-10 11:18:43.3340 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending HEADERS frame for stream ID 13 with length 149 and flags END_HEADERS. 
2024-06-10 11:18:43.3340 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 13 with length 9986 and flags NONE. 
2024-06-10 11:18:43.3340 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 13 with length 10240 and flags NONE. 
2024-06-10 11:18:43.3340 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 13 with length 10240 and flags NONE. 
2024-06-10 11:18:43.3340 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 13 with length 10240 and flags NONE. 
2024-06-10 11:18:43.3340 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending DATA frame for stream ID 13 with length 10240 and flags NONE. 
