2024-06-18 16:55:10.2325 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" received PING frame for stream ID 0 with length 8 and flags NONE. 
2024-06-18 16:55:10.2325 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending PING frame for stream ID 0 with length 8 and flags ACK. 
2024-06-18 16:55:10.2325 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-06-18 16:55:10.3607 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter. 
2024-06-18 16:55:10.3607 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter. 
2024-06-18 16:55:10.3607 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter. 
2024-06-18 16:55:10.3607 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter. 
2024-06-18 16:55:10.3607 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executing action method Job_Finder.Controllers.CLRegistrationController.Login (Job_Finder) with arguments (Arti, arti) 
2024-06-18 16:55:11.4739 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter. 
2024-06-18 16:55:11.4739 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter. 
2024-06-18 16:55:11.4739 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter. 
2024-06-18 16:55:11.4739 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter. 
2024-06-18 16:55:11.4739 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: Before executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter. 
2024-06-18 16:55:11.4739 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: After executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter. 
2024-06-18 16:55:11.4739 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Before executing action result Microsoft.AspNetCore.Mvc.OkObjectResult. 
2024-06-18 16:55:11.5184 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending HEADERS frame for stream ID 9 with length 171 and flags END_HEADERS. 
2024-06-18 16:55:11.5184 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 9 with length 205 and flags NONE. 
2024-06-18 16:55:11.5184 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | After executing action result Microsoft.AspNetCore.Mvc.OkObjectResult. 
