2024-05-11 12:20:31.5586 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.5586 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.5586 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 8192 and flags NONE. 
2024-05-11 12:20:31.6685 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.6685 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.6685 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.6685 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.6685 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.6685 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.6685 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.9453 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.9456 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.9456 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.9456 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.9456 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.9456 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.9456 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.9456 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.9456 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.9456 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.9456 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.9456 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.9456 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.9456 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.9456 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.9456 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.9456 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.9456 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.9456 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.9456 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.9456 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.9456 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.9735 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.9735 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.9735 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.9735 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.9735 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.9735 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-11 12:20:31.9735 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 5421 and flags NONE. 
2024-05-11 12:20:31.9802 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR717" sending DATA frame for stream ID 5 with length 0 and flags END_STREAM. 
2024-05-11 12:20:32.1180 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR718" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. 
2024-05-11 12:20:32.1180 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR718" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-05-11 12:20:32.1180 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR718" received SETTINGS frame for stream ID 0 with length 24 and flags NONE. 
2024-05-11 12:20:32.1180 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR718" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-05-11 12:20:32.1180 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR718" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-05-11 12:20:32.1180 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR718" received HEADERS frame for stream ID 1 with length 367 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-05-11 12:20:32.1180 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-05-11 12:20:32.1180 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR718" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-05-11 12:20:32.7253 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR718" sending HEADERS frame for stream ID 1 with length 73 and flags END_HEADERS. 
2024-05-11 12:20:32.7253 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR718" sending DATA frame for stream ID 1 with length 16384 and flags NONE. 
2024-05-11 12:20:32.7253 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR718" sending DATA frame for stream ID 1 with length 1354 and flags NONE. 
2024-05-11 12:20:32.7253 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR718" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM. 
2024-05-11 12:20:55.9155 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR719" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. 
2024-05-11 12:20:55.9155 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR719" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-05-11 12:20:55.9155 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR719" received SETTINGS frame for stream ID 0 with length 24 and flags NONE. 
2024-05-11 12:20:55.9155 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR719" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-05-11 12:20:55.9155 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR719" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-05-11 12:20:55.9155 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR719" received HEADERS frame for stream ID 1 with length 397 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-05-11 12:20:55.9155 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGQINR719" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-05-11 12:20:55.9155 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-05-11 12:20:56.0241 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: Before executing OnAuthorization on filter Job_Finder.Filters.AuthenticationFilter. 
