2024-05-24 10:15:51.4227 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter. 
2024-05-24 10:15:51.4227 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter. 
2024-05-24 10:15:51.4227 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter. 
2024-05-24 10:15:51.4227 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: Before executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter. 
2024-05-24 10:15:51.4227 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: After executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter. 
2024-05-24 10:15:51.4227 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Before executing action result Microsoft.AspNetCore.Mvc.OkObjectResult. 
2024-05-24 10:15:51.4763 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending HEADERS frame for stream ID 9 with length 170 and flags END_HEADERS. 
2024-05-24 10:15:51.4763 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending DATA frame for stream ID 9 with length 68 and flags NONE. 
2024-05-24 10:15:51.4763 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | After executing action result Microsoft.AspNetCore.Mvc.OkObjectResult. 
2024-05-24 10:15:51.4763 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: Before executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter. 
2024-05-24 10:15:51.4763 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: After executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter. 
2024-05-24 10:15:51.4763 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-05-24 10:15:51.4763 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending DATA frame for stream ID 9 with length 0 and flags END_STREAM. 
2024-05-24 10:18:03.0340 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending GOAWAY frame for stream ID 0 with length 8 and flags 0x0. 
2024-05-24 11:55:04.8161 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RN8VVMQB2" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. 
2024-05-24 11:55:04.8347 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RN8VVMQB2" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-05-24 11:55:04.8347 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RN8VVMQB2" received SETTINGS frame for stream ID 0 with length 24 and flags NONE. 
2024-05-24 11:55:04.8431 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RN8VVMQB2" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-05-24 11:55:04.8431 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RN8VVMQB2" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-05-24 11:55:04.8431 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RN8VVMQB2" received HEADERS frame for stream ID 1 with length 485 and flags END_STREAM, END_HEADERS, PRIORITY. 
