2024-05-10 12:50:31.8413 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" received HEADERS frame for stream ID 3 with length 109 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-05-10 12:50:31.8743 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-05-10 12:50:31.8743 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-05-10 12:50:31.8743 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-05-10 12:50:31.8948 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" sending HEADERS frame for stream ID 3 with length 60 and flags END_HEADERS. 
2024-05-10 12:50:31.9021 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" sending DATA frame for stream ID 3 with length 11990 and flags NONE. 
2024-05-10 12:50:31.9021 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM. 
2024-05-10 12:50:32.0342 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" sending HEADERS frame for stream ID 5 with length 119 and flags END_HEADERS. 
2024-05-10 12:50:32.0342 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" sending DATA frame for stream ID 5 with length 9986 and flags NONE. 
2024-05-10 12:50:32.0342 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
