2024-06-17 12:01:05.4931 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter. 
2024-06-17 12:01:05.4931 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter. 
2024-06-17 12:01:05.4931 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter. 
2024-06-17 12:01:05.7850 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATF" sending HEADERS frame for stream ID 1 with length 68 and flags END_HEADERS. 
2024-06-17 12:01:05.7850 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATF" sending DATA frame for stream ID 1 with length 3032 and flags NONE. 
2024-06-17 12:01:05.7850 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATF" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM. 
2024-06-17 12:01:15.6939 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATG" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. 
2024-06-17 12:01:15.6939 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATG" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-06-17 12:01:15.6939 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATG" received SETTINGS frame for stream ID 0 with length 24 and flags NONE. 
2024-06-17 12:01:15.6939 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATG" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
