2024-05-22 15:06:15.3963 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q8AF9JBL1" sending HEADERS frame for stream ID 7 with length 65 and flags END_HEADERS. 
2024-05-22 15:06:15.3963 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q8AF9JBL1" sending DATA frame for stream ID 7 with length 16384 and flags NONE. 
2024-05-22 15:06:15.3963 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q8AF9JBL1" sending DATA frame for stream ID 7 with length 2720 and flags NONE. 
2024-05-22 15:06:15.3963 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q8AF9JBL1" sending DATA frame for stream ID 7 with length 0 and flags END_STREAM. 
2024-05-22 15:06:19.3444 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q8AF9JBL1" sending GOAWAY frame for stream ID 0 with length 8 and flags 0x0. 
2024-05-22 15:07:35.5075 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q8AF9JBL3" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. 
2024-05-22 15:07:35.5075 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q8AF9JBL3" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-05-22 15:07:35.5075 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q8AF9JBL3" received SETTINGS frame for stream ID 0 with length 24 and flags NONE. 
2024-05-22 15:07:35.5075 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q8AF9JBL3" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-05-22 15:07:35.5075 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q8AF9JBL3" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-05-22 15:07:35.5075 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q8AF9JBL3" received HEADERS frame for stream ID 1 with length 383 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-05-22 15:07:35.5075 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q8AF9JBL3" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-05-22 15:07:35.5075 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-05-22 15:07:35.6469 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: Before executing OnAuthorization on filter Job_Finder.Filters.AuthenticationFilter. 
2024-05-22 15:07:35.6669 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: After executing OnAuthorization on filter Job_Finder.Filters.AuthenticationFilter. 
2024-05-22 15:07:35.6669 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Always Run Result Filter: Before executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter. 
2024-05-22 15:07:35.6669 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Always Run Result Filter: After executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter. 
2024-05-22 15:07:35.6669 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Before executing action result Microsoft.AspNetCore.Mvc.ObjectResult. 
2024-05-22 15:07:35.6946 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q8AF9JBL3" sending HEADERS frame for stream ID 1 with length 173 and flags END_HEADERS. 
2024-05-22 15:07:35.6946 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q8AF9JBL3" sending DATA frame for stream ID 1 with length 3 and flags NONE. 
2024-05-22 15:07:35.6946 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | After executing action result Microsoft.AspNetCore.Mvc.ObjectResult. 
2024-05-22 15:07:35.6946 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Always Run Result Filter: Before executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter. 
2024-05-22 15:07:35.6946 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Always Run Result Filter: After executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter. 
2024-05-22 15:07:35.6946 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q8AF9JBL3" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM. 
2024-05-22 15:07:40.4382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q8AF9JBL3" received HEADERS frame for stream ID 3 with length 67 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-05-22 15:07:40.4396 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-05-22 15:07:40.4396 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: Before executing OnAuthorization on filter Job_Finder.Filters.AuthenticationFilter. 
2024-05-22 15:07:40.4396 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: After executing OnAuthorization on filter Job_Finder.Filters.AuthenticationFilter. 
2024-05-22 15:07:40.4396 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Always Run Result Filter: Before executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter. 
2024-05-22 15:07:40.4396 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Always Run Result Filter: After executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter. 
2024-05-22 15:07:40.4396 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Before executing action result Microsoft.AspNetCore.Mvc.ObjectResult. 
2024-05-22 15:07:40.4396 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q8AF9JBL3" sending HEADERS frame for stream ID 3 with length 37 and flags END_HEADERS. 
2024-05-22 15:07:40.4396 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q8AF9JBL3" sending DATA frame for stream ID 3 with length 3 and flags NONE. 
2024-05-22 15:07:40.4396 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | After executing action result Microsoft.AspNetCore.Mvc.ObjectResult. 
2024-05-22 15:07:40.4396 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Always Run Result Filter: Before executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter. 
2024-05-22 15:07:40.4396 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Always Run Result Filter: After executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter. 
2024-05-22 15:07:40.4396 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q8AF9JBL3" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM. 
