2024-06-19 11:30:58.7580 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending HEADERS frame for stream ID 7 with length 65 and flags END_HEADERS. 
2024-06-19 11:30:58.7580 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 7 with length 16384 and flags NONE. 
2024-06-19 11:30:58.7580 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 7 with length 5856 and flags NONE. 
2024-06-19 11:30:58.7580 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 7 with length 0 and flags END_STREAM. 
2024-06-19 11:31:13.9094 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" received HEADERS frame for stream ID 9 with length 61 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-06-19 11:31:13.9094 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" received PING frame for stream ID 0 with length 8 and flags NONE. 
2024-06-19 11:31:13.9094 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending PING frame for stream ID 0 with length 8 and flags ACK. 
2024-06-19 11:31:13.9094 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-06-19 11:31:14.0633 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter. 
2024-06-19 11:31:14.0633 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter. 
2024-06-19 11:31:14.0633 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter. 
2024-06-19 11:31:14.0633 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter. 
